"","Age","Height","Weight","Number.of.siblings","Gender","Left...right.handed","Education","Only.child","Village...town","House...block.of.flats","Daily.events","Prioritising.workload","Writing.notes","Workaholism","Thinking.ahead","Final.judgement","Reliability","Keeping.promises","Loss.of.interest","Friends.versus.money","Funniness","Fake","Criminal.damage","Decision.making","Elections","Self.criticism","Judgment.calls","Hypochondria","Empathy","Eating.to.survive","Giving","Compassion.to.animals","Borrowed.stuff","Loneliness","Cheating.in.school","Health","Changing.the.past","God","Dreams","Charity","Number.of.friends","Punctuality","Lying","Waiting","New.environment","Mood.swings","Appearence.and.gestures","Socializing","Achievements","Responding.to.a.serious.letter","Children","Assertiveness","Getting.angry","Knowing.the.right.people","Public.speaking","Unpopularity","Life.struggles","Happiness.in.life","Energy.levels","Small...big.dogs","Personality","Finding.lost.valuables","Getting.up","Interests.or.hobbies","Parents..advice","Questionnaires.or.polls","Internet.usage","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous.dogs","Fear.of.public.speaking","History","Psychology","Politics","Mathematics","Physics","Internet","PC","Economy.Management","Biology","Chemistry","Reading","Geography","Foreign.languages","Medicine","Law","Cars","Art.exhibitions","Religion","Countryside..outdoors","Dancing","Musical.instruments","Writing","Passive.sport","Active.sport","Gardening","Celebrities","Shopping","Science.and.technology","Theatre","Fun.with.friends","Adrenaline.sports","Pets","Smoking","Alcohol","Healthy.eating","Finances","Shopping.centres","Branded.clothing","Entertainment.spending","Spending.on.looks","Spending.on.gadgets","Spending.on.healthy.eating","Music","Slow.songs.or.fast.songs","Dance","Folk","Country","Classical.music","Musical","Pop","Rock","Metal.or.Hardrock","Punk","Hiphop..Rap","Reggae..Ska","Swing..Jazz","Rock.n.roll","Alternative","Latino","Techno..Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Action"
"103",20,168,55,0,"female","right handed","secondary school","yes","city","block of flats",4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,3,"i am often early","only to avoid hurting someone",4,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"few hours a day",1,2,4,1,1,1,4,2,1,3,5,5,5,4,4,5,4,2,4,4,5,5,5,5,4,2,4,2,5,4,4,2,1,5,2,1,1,2,4,5,3,1,"2","3",4,3,3,3,3,3,3,3,5,3,1,2,3,5,4,1,5,2,5,1,4,5,5,5,2,1,4,5,4,5,5,4,5,4,5,5,5,2,5
"104",22,185,80,0,"male","right handed","secondary school","yes","city","house/bungalow",5,4,1,4,5,5,5,2,5,5,4,2,1,1,5,5,5,1,5,1,1,1,2,2,4,4,1,5,3,1,2,"i am often running late","sometimes",1,5,3,5,5,4,4,2,4,2,4,2,4,2,5,4,1,4,4,1,4,5,1,"few hours a day",1,1,1,1,4,4,1,4,2,1,5,4,4,2,2,5,5,2,2,1,5,5,5,2,4,5,2,5,4,4,4,1,5,3,1,4,4,5,4,5,2,1,"2","5",4,4,5,1,5,5,5,5,5,5,5,2,2,3,4,5,1,1,1,5,5,4,3,2,5,4,4,5,1,5,5,5,4,4,2,5,5,4,4
"105",21,180,70,1,"male","right handed","secondary school","no","village","block of flats",5,4,2,4,5,1,5,5,1,1,3,5,1,4,5,5,5,1,3,1,1,5,3,1,2,1,1,1,4,3,3,"i am always on time","everytime it suits me",2,5,3,4,3,1,2,3,2,2,5,2,5,1,5,5,4,3,3,4,3,4,1,"few hours a day",1,1,1,3,1,1,1,1,1,1,5,4,5,2,2,3,3,4,2,2,2,4,3,2,5,4,4,3,3,2,2,3,3,3,2,1,2,3,3,4,3,2,"2","5",1,2,2,2,4,4,2,4,4,4,3,3,2,4,2,2,4,4,3,3,3,4,4,4,3,3,2,4,4,4,4,2,3,5,4,4,5,3,4
"106",24,178,74,1,"male","right handed","college/bachelor degree","no","village","house/bungalow",2,3,1,3,4,4,4,4,2,4,1,2,4,3,3,5,3,1,3,5,3,4,5,2,2,3,4,4,3,2,2,"i am always on time","sometimes",3,3,2,2,3,4,3,2,4,1,1,4,5,2,3,4,4,3,5,3,3,3,3,"few hours a day",1,2,1,2,1,4,2,1,2,2,4,2,2,1,1,3,3,1,1,4,3,1,3,1,3,3,1,3,5,1,1,1,4,5,3,1,3,4,3,3,1,4,"1","3",3,4,1,2,1,2,3,3,5,5,1,3,1,3,2,2,4,5,1,1,2,3,1,1,1,1,2,4,1,2,4,3,1,4,4,5,5,3,3
"107",19,182,80,1,"male","right handed","secondary school","no","city","block of flats",4,4,5,3,4,4,5,4,2,5,3,3,2,4,5,4,5,1,5,4,4,5,5,4,5,2,5,4,3,2,4,"i am often early","only to avoid hurting someone",2,4,5,3,3,3,3,4,4,3,3,5,3,3,4,4,3,3,2,3,4,3,3,"few hours a day",2,1,1,1,2,2,2,3,2,3,4,4,3,3,1,4,4,5,2,1,2,3,5,1,2,3,1,2,4,2,1,1,5,2,1,2,2,5,2,5,3,1,"4","3",3,4,2,1,3,2,4,2,5,3,4,4,5,5,3,4,5,1,2,4,4,4,5,3,5,3,4,5,2,3,5,5,5,5,5,5,4,3,4
"108",18,178,55,1,"female","right handed","secondary school","no","city","house/bungalow",5,1,3,5,3,1,5,2,1,5,5,2,4,1,4,4,5,1,3,1,5,5,2,1,5,3,1,5,3,1,5,"i am always on time","only to avoid hurting someone",1,1,5,3,1,1,3,3,2,5,3,4,3,4,5,5,5,3,4,1,5,5,1,"less than an hour a day",4,2,5,1,1,1,3,1,4,1,1,2,4,1,3,4,1,2,5,5,5,2,1,5,2,4,5,4,4,2,1,4,2,5,2,1,3,2,5,5,5,4,"2","3",3,1,1,3,3,3,3,5,5,3,1,1,1,2,2,2,4,4,1,1,3,4,2,4,2,1,1,3,1,1,4,2,2,3,3,3,2,1,1
"109",17,168,61,1,"female","right handed","primary school","no","city","block of flats",1,2,3,2,2,1,4,5,3,4,2,5,1,2,3,2,4,1,5,2,1,5,4,5,2,1,4,3,2,2,1,"i am often early","sometimes",3,2,5,4,1,4,3,4,4,4,2,1,3,5,2,3,4,4,2,2,1,2,2,"few hours a day",1,1,2,4,5,3,2,5,4,2,1,3,2,3,2,4,4,1,1,1,2,1,4,1,1,2,1,1,1,1,5,4,4,1,1,1,4,2,3,2,1,3,"1","3",3,1,3,4,2,3,3,3,4,3,2,2,1,4,1,2,4,4,3,2,1,1,2,3,2,2,3,5,3,5,5,4,3,2,4,4,3,1,5
"110",18,176,65,0,"male","right handed","secondary school","yes","city","block of flats",4,1,1,1,4,3,2,3,2,4,5,3,4,2,1,4,4,2,4,3,3,3,4,4,4,3,4,2,3,2,3,"i am often running late","everytime it suits me",2,4,3,4,1,4,5,3,5,4,4,4,3,2,3,3,5,3,4,5,2,3,2,"few hours a day",3,1,3,2,1,4,4,1,3,4,3,3,4,2,2,4,5,4,2,2,1,2,3,3,2,5,2,3,3,1,1,1,2,2,1,1,2,4,1,4,2,1,"2","5",2,4,2,4,4,2,2,3,5,2,2,2,4,4,2,3,5,5,3,2,2,2,3,1,3,1,4,5,1,4,4,2,5,5,3,3,4,3,5
"111",21,185,70,1,"male","right handed","college/bachelor degree","no","city","house/bungalow",3,1,2,2,3,3,3,4,4,4,5,2,4,3,4,5,5,3,5,2,3,5,3,3,2,3,2,4,4,1,3,"i am always on time","sometimes",2,3,4,5,4,3,3,3,4,1,4,4,4,2,4,4,3,3,2,4,3,3,5,"few hours a day",1,1,2,4,4,4,1,2,1,2,3,4,1,2,3,5,2,2,5,1,1,5,4,3,1,1,1,2,5,1,1,3,2,4,1,1,2,4,1,4,4,3,"4","5",4,4,4,4,3,2,2,3,5,4,4,5,2,3,1,4,4,1,1,1,4,5,4,4,4,4,1,4,1,2,5,3,4,5,4,3,4,5,4
"112",22,166,56,1,"female","right handed","college/bachelor degree","no","village","house/bungalow",2,1,3,2,2,3,2,4,2,5,3,4,5,2,1,4,4,4,5,4,2,5,4,5,5,2,5,5,2,3,5,"i am often running late","everytime it suits me",2,4,5,5,2,2,4,2,2,4,3,5,5,5,2,2,3,2,4,5,3,3,1,"most of the day",2,2,2,3,5,4,5,1,5,5,3,4,1,1,1,4,1,1,3,2,5,3,5,3,2,1,5,3,5,3,2,4,1,3,2,2,2,3,4,5,3,1,"2","3",3,2,2,1,2,2,3,3,5,3,4,3,2,5,3,3,4,2,2,3,3,4,4,5,2,4,4,4,1,2,4,4,2,2,5,4,4,2,4
"113",20,163,54,1,"female","left handed","secondary school","no","city","block of flats",1,4,5,4,3,3,4,5,3,5,3,1,3,3,5,3,4,1,5,2,2,3,4,3,3,3,3,5,3,3,3,"i am often early","sometimes",2,3,5,4,3,3,1,4,3,4,4,5,5,4,3,3,1,3,3,4,4,3,3,"less than an hour a day",2,4,3,1,4,4,1,2,3,3,2,3,1,2,1,3,1,1,5,4,5,3,4,5,2,1,4,3,4,5,2,1,3,2,3,1,3,5,5,4,1,3,"1","3",3,4,3,2,2,3,3,2,5,3,4,2,2,4,3,3,3,2,2,1,3,4,2,3,5,4,1,5,1,3,4,4,3,1,4,4,4,1,2
"114",21,162,60,1,"female","right handed","college/bachelor degree","no","village","house/bungalow",3,3,4,3,3,4,4,4,1,1,2,1,2,2,2,2,4,1,2,2,2,4,4,2,3,3,3,1,4,2,3,"i am always on time","only to avoid hurting someone",3,3,3,3,4,2,2,5,4,4,4,1,4,4,4,4,1,3,5,2,3,4,4,"few hours a day",1,1,3,4,3,3,3,1,1,1,2,2,1,1,2,3,2,1,3,3,1,2,1,1,1,4,2,1,5,1,1,1,5,4,5,4,4,2,2,4,4,5,"4","3",3,2,1,4,2,2,1,2,3,4,4,2,3,1,2,4,4,2,1,5,1,1,2,2,2,5,1,4,3,3,5,5,1,1,5,5,5,2,3
"115",19,163,54,1,"female","right handed","secondary school","no","city","house/bungalow",3,3,5,4,3,1,5,4,3,4,4,1,1,3,5,4,2,1,5,1,2,3,4,2,3,3,2,1,4,1,4,"i am often early","only to avoid hurting someone",3,5,4,4,3,2,3,1,3,3,5,5,5,2,4,5,1,3,4,2,4,4,3,"less than an hour a day",1,1,2,2,5,5,1,3,5,5,5,3,1,1,1,5,3,2,1,1,5,3,5,3,1,2,5,1,4,1,1,4,1,1,2,2,5,4,4,5,4,5,"4","5",3,4,5,3,3,3,3,3,5,3,2,1,1,3,4,4,4,1,3,2,2,2,3,3,1,1,4,5,1,4,4,3,2,2,5,5,3,2,4
"116",17,175,62,0,"female","right handed","secondary school","yes","city","block of flats",5,1,3,2,3,2,5,5,5,3,2,3,1,5,5,5,5,2,3,1,3,3,5,5,5,4,3,3,3,3,3,"i am often early","sometimes",2,3,3,5,3,3,3,1,3,3,4,3,5,3,4,2,1,3,3,3,3,3,5,"few hours a day",1,1,4,5,5,5,3,5,5,2,2,5,3,1,3,5,3,2,3,3,3,4,5,4,2,5,4,2,4,5,3,3,3,4,3,1,5,4,4,5,3,3,"2","3",3,3,5,5,4,5,5,5,5,4,5,2,2,5,4,5,5,2,2,3,3,3,2,3,5,3,2,5,5,5,5,3,3,4,3,5,3,1,5
"117",21,169,61,1,"female","right handed","college/bachelor degree","no","city","block of flats",3,1,1,1,5,3,3,4,1,5,3,2,1,5,5,5,3,1,5,2,4,5,5,5,2,4,3,5,3,1,1,"i am often early","only to avoid hurting someone",3,1,4,4,2,3,5,3,1,3,1,5,5,5,2,1,2,2,3,5,1,4,4,"few hours a day",4,2,5,5,5,5,1,3,5,4,2,4,2,1,2,3,1,1,1,3,5,1,4,1,1,1,2,2,3,1,5,5,1,1,1,1,3,1,2,4,1,4,"4","3",2,3,1,1,1,2,1,4,5,3,2,2,2,2,1,3,5,1,2,1,1,2,4,5,2,1,1,4,1,2,5,5,3,3,5,5,3,1,2
"118",18,165,55,3,"female","right handed","secondary school","no","village","house/bungalow",3,1,3,1,5,3,4,4,1,5,2,4,1,5,2,4,4,5,5,3,3,5,5,4,3,5,3,4,3,1,1,"i am often early","sometimes",4,3,3,4,1,2,4,4,4,2,2,3,5,5,3,3,3,3,3,3,2,4,2,"few hours a day",3,1,2,4,3,5,3,2,2,4,2,2,2,5,2,5,5,3,2,1,1,2,2,1,1,5,1,1,4,1,1,1,1,1,2,4,3,3,2,2,1,5,"1","1",2,3,1,1,1,2,1,1,5,3,2,2,1,1,3,5,3,2,1,1,1,1,2,1,4,1,1,4,1,2,4,5,2,2,4,2,4,1,4
"119",23,175,60,1,"male","right handed","college/bachelor degree","no","city","block of flats",4,3,3,5,4,2,4,4,3,3,2,2,1,4,4,3,3,2,3,1,2,5,5,3,2,3,2,1,4,2,2,"i am often early","sometimes",2,2,3,2,4,3,4,2,3,2,2,4,3,3,5,3,3,3,4,2,3,3,5,"few hours a day",2,1,1,1,2,1,1,2,1,3,3,2,4,4,2,4,4,2,2,2,4,4,3,2,1,2,4,1,5,1,2,2,4,1,2,1,2,3,2,4,3,4,"1","3",3,4,2,2,2,1,2,3,5,3,1,2,2,4,1,3,4,2,4,2,4,4,4,4,2,1,1,5,3,2,3,2,2,3,2,2,3,3,2
"120",16,161,54,1,"female","right handed","secondary school","no","village","house/bungalow",2,4,5,2,5,4,4,4,5,3,2,2,5,3,1,5,5,2,5,2,1,4,5,2,4,4,3,5,3,2,2,"i am often early","only to avoid hurting someone",4,4,4,4,2,4,4,5,2,4,4,3,3,4,5,5,4,3,2,5,1,4,5,"few hours a day",4,2,1,2,2,4,1,1,2,3,4,4,2,4,2,5,1,1,2,4,3,4,1,3,1,1,2,2,4,1,3,3,2,1,2,1,1,2,2,3,2,3,"2","3",3,5,1,1,4,4,2,3,4,2,4,2,1,3,2,4,2,2,1,2,2,2,2,1,2,3,2,3,2,3,4,3,1,2,3,3,2,1,2
"121",23,188,90,0,"male","right handed","college/bachelor degree","yes","city","block of flats",5,2,1,5,5,1,5,4,5,3,5,4,1,1,5,5,5,1,3,1,1,1,2,2,1,2,2,1,3,1,1,"i am always on time","everytime it suits me",4,5,1,2,4,3,3,3,5,1,3,1,3,1,4,2,3,4,1,1,1,2,5,"most of the day",1,1,2,1,1,4,4,1,1,2,5,3,4,5,5,2,4,5,3,5,5,5,4,3,3,2,1,2,5,4,3,2,1,4,1,1,1,5,5,5,4,5,"1","5",2,4,1,1,3,1,1,4,5,5,4,1,2,4,4,2,5,5,2,1,3,5,5,3,4,3,2,3,1,3,5,4,2,5,4,4,5,3,5
"122",21,180,85,2,"male","right handed","secondary school","no","city","block of flats",4,4,2,5,4,2,3,4,3,2,5,2,1,3,1,4,3,1,4,4,2,5,4,2,5,2,1,4,4,1,3,"i am often running late","sometimes",3,4,3,3,4,2,3,4,3,3,5,4,3,1,4,4,4,4,1,3,4,2,3,"few hours a day",1,1,1,2,1,2,3,2,3,3,1,3,3,4,3,4,4,3,2,2,1,1,2,3,4,5,1,1,4,1,1,1,3,2,1,3,2,4,1,5,5,3,"5","3",2,2,2,3,5,1,4,2,4,3,2,3,4,2,1,4,4,2,2,4,2,2,4,1,1,3,1,4,4,4,4,3,3,4,3,4,1,3,4
"123",23,156,56,0,"female","right handed","masters degree","yes","city","house/bungalow",4,4,4,5,2,5,4,5,1,5,4,2,3,3,5,5,4,1,4,2,4,5,5,2,5,3,2,5,4,2,3,"i am always on time","sometimes",3,3,3,2,2,3,4,4,4,4,3,2,3,4,4,4,4,3,4,3,3,3,4,"few hours a day",4,2,1,2,2,4,3,2,2,2,5,2,1,1,1,4,2,1,1,1,5,3,3,1,1,4,5,3,4,2,2,3,4,2,2,2,3,1,5,5,1,4,"2","3",3,4,2,2,3,2,2,3,5,3,3,2,2,5,3,1,5,2,4,1,3,4,4,5,3,1,3,4,4,4,3,2,2,2,4,4,5,2,5
"124",20,172,80,0,"female","left handed","secondary school","yes","village","house/bungalow",1,2,3,3,3,1,4,4,3,4,3,2,2,3,2,2,3,2,3,2,3,4,4,3,4,3,2,3,4,2,3,"i am always on time","only to avoid hurting someone",4,3,4,3,2,3,3,2,2,2,3,2,3,5,3,2,3,3,3,3,2,3,4,"few hours a day",2,2,1,1,1,1,1,3,2,4,2,3,1,1,3,3,3,2,4,2,3,3,3,3,3,2,4,4,4,1,5,4,2,4,4,1,2,3,4,5,2,4,"2","1",3,4,1,1,3,2,2,4,5,3,3,3,3,3,4,3,5,3,1,3,1,5,5,3,3,1,3,3,1,4,4,2,1,1,2,4,5,1,4
"125",20,176,69,4,"male","right handed","secondary school","no","city","block of flats",4,2,2,3,4,2,4,4,1,2,3,1,1,2,3,5,3,1,3,2,4,2,4,2,2,2,2,1,4,4,4,"i am always on time","only to avoid hurting someone",4,4,2,3,2,3,1,4,4,1,3,2,4,1,3,4,5,3,3,3,4,3,2,"few hours a day",1,1,1,2,1,1,1,1,2,1,4,4,4,1,3,4,5,3,2,2,4,4,4,4,4,4,5,3,5,2,5,3,4,5,1,1,1,5,4,4,5,4,"5","3",4,3,3,3,3,4,3,5,4,4,1,4,2,5,5,3,5,3,3,1,2,4,5,2,3,1,3,4,5,5,5,4,5,5,5,5,5,5,4
"126",20,157,54,1,"female","right handed","secondary school","no","city","block of flats",4,3,5,5,4,2,4,4,2,4,4,2,3,3,5,4,3,2,5,4,4,5,5,3,3,3,3,4,4,4,4,"i am often running late","sometimes",3,3,4,4,3,3,3,5,4,3,4,4,4,4,4,5,3,3,3,5,5,4,4,"few hours a day",3,2,2,2,4,3,2,4,4,3,4,4,4,2,2,3,2,2,3,2,5,2,4,3,3,1,4,2,5,4,5,5,4,3,4,1,4,3,5,5,2,5,"1","3",3,3,4,2,4,4,2,4,5,3,3,3,2,3,2,2,4,3,3,2,4,5,3,4,3,2,2,5,2,3,5,4,4,3,4,4,3,2,2
"127",20,163,56,2,"female","right handed","secondary school","no","village","house/bungalow",3,5,5,3,4,3,5,4,3,3,3,3,1,5,5,4,4,1,4,1,5,3,5,4,3,4,3,3,3,1,2,"i am often early","only to avoid hurting someone",1,4,5,4,4,3,4,3,3,5,3,5,4,4,3,3,1,3,1,2,2,3,3,"few hours a day",4,3,5,4,1,4,4,4,5,3,5,2,2,2,1,5,3,1,1,1,4,2,5,1,1,3,2,2,3,1,1,2,1,1,2,3,4,2,2,5,1,1,"2","3",3,4,3,1,1,1,1,2,3,5,4,1,1,3,1,4,4,1,4,4,1,1,1,2,1,1,1,3,1,2,4,4,1,1,5,5,3,1,4
"128",19,177,64,1,"female","right handed","primary school","no","city","block of flats",4,2,1,1,4,3,4,4,2,3,3,2,1,3,5,5,4,2,3,4,2,4,5,3,5,2,3,3,3,3,3,"i am often running late","everytime it suits me",3,4,4,3,3,2,2,3,3,2,3,2,3,4,3,3,5,3,1,5,4,2,5,"most of the day",1,2,2,2,2,2,2,4,2,2,4,4,4,3,2,5,4,3,2,1,4,5,4,3,2,4,3,4,4,1,1,3,4,1,2,1,2,4,3,5,4,2,"2","3",1,2,1,1,5,2,3,1,4,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,2,3,3,5,2,4,4,3,4,4,3,3,4,2,4
"129",15,173,49,3,"female","left handed","primary school","no","city","house/bungalow",5,1,3,3,2,1,4,4,5,5,2,1,1,5,1,3,3,5,5,2,3,3,5,5,1,2,5,5,4,3,1,"i am always on time","only to avoid hurting someone",5,5,5,5,3,3,1,3,1,3,5,1,5,5,5,5,1,3,4,3,5,3,5,"few hours a day",1,1,1,3,1,1,1,5,5,5,4,5,3,3,5,5,5,1,3,5,5,5,5,1,1,1,5,5,5,5,5,5,1,3,5,1,2,5,5,5,5,5,"1","1",5,5,5,3,5,3,2,5,5,5,5,1,5,5,5,5,5,5,1,2,3,1,5,5,5,5,2,5,1,4,3,5,5,5,2,5,2,1,1
"130",20,178,75,1,"female","right handed","secondary school","no","village","house/bungalow",2,3,4,1,2,5,4,3,3,5,2,2,1,3,5,4,5,2,5,1,2,5,5,2,3,3,2,5,3,2,4,"i am often early","sometimes",3,3,4,4,3,3,3,4,3,4,4,4,4,5,4,4,3,4,4,5,3,3,3,"less than an hour a day",2,4,4,2,2,1,2,3,1,3,4,3,2,1,1,4,2,1,5,4,3,2,3,5,2,1,3,5,3,2,1,1,2,1,1,1,5,3,1,5,1,5,"1","3",3,3,4,3,3,3,3,2,5,4,5,3,1,2,2,4,5,2,2,2,3,4,3,4,3,1,1,5,1,1,4,5,2,2,5,5,5,2,2
"131",19,168,66,1,"female","right handed","secondary school","no","village","house/bungalow",1,3,4,4,4,1,4,4,3,3,5,1,1,2,5,4,5,2,4,1,3,4,5,1,3,4,4,2,4,2,4,"i am often early","sometimes",3,4,3,4,4,4,4,3,5,5,5,2,3,4,4,4,4,4,1,5,4,4,5,"few hours a day",1,1,3,1,4,4,5,5,4,3,5,3,5,2,1,5,4,4,1,1,5,5,4,2,5,1,4,3,4,2,1,4,5,3,2,4,5,4,4,5,3,1,"2","1",3,4,5,5,5,5,5,5,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,5,4,5,4,2,3,4,2,3,2,1,2
"132",18,193,103,2,"male","right handed","primary school","yes","village","house/bungalow",4,1,1,1,4,3,2,4,2,2,5,3,1,3,1,2,5,1,5,4,1,5,5,3,5,4,3,3,2,1,4,"i am often early","sometimes",4,5,3,5,3,4,2,4,5,2,4,4,4,1,4,4,1,4,1,3,1,2,4,"few hours a day",1,2,3,4,2,2,3,1,4,2,1,3,4,1,1,5,4,1,1,1,1,1,4,1,1,4,1,1,5,2,1,1,5,1,1,2,4,4,3,5,5,3,"4","3",3,4,5,5,3,3,4,3,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,5,3,5,2,1,4,3,3,3,3,4,5
"133",15,170,51,1,"female","right handed","primary school","no","village","house/bungalow",4,4,2,5,4,1,4,5,1,2,5,4,5,4,1,4,5,3,4,3,1,5,4,5,5,2,1,4,4,1,1,"i am always on time","sometimes",3,4,4,4,3,3,4,4,3,2,3,5,4,4,2,3,4,3,2,4,2,2,5,"most of the day",1,1,2,1,5,3,5,3,1,4,1,5,2,4,1,5,3,2,4,1,4,5,5,3,2,1,1,2,3,1,1,1,2,1,1,3,2,4,2,3,3,5,"2","1",2,5,4,3,1,2,2,2,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,5,4,4,5,5,5,4,2,5,4,1,3
"134",20,170,50,2,"female","right handed","college/bachelor degree","no","city","house/bungalow",3,5,5,5,4,3,5,5,1,4,1,1,1,5,3,4,4,1,4,3,4,5,5,2,2,3,3,5,3,2,3,"i am always on time","never",2,3,4,4,1,2,1,5,3,4,2,4,4,5,3,4,5,3,4,4,5,4,2,"less than an hour a day",3,3,5,4,4,4,2,2,3,2,4,1,1,1,1,2,1,1,3,1,5,3,4,2,1,1,5,5,5,5,5,3,3,4,3,1,3,1,5,4,1,4,"2","3",1,2,5,4,2,2,1,2,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,5,1,1,2,2,1,4,5,4,5,1,4
"135",16,170,59,1,"female","right handed","secondary school","yes","village","house/bungalow",3,5,5,5,5,5,3,5,5,3,4,5,5,5,1,5,5,3,5,5,1,5,5,5,4,3,5,1,3,1,3,"i am always on time","only to avoid hurting someone",1,3,5,3,1,3,1,3,3,5,4,5,5,5,1,1,5,1,1,5,1,1,1,"few hours a day",3,3,3,3,5,3,1,5,5,5,3,3,3,1,2,3,3,3,3,3,3,3,3,4,3,3,3,1,3,3,2,1,1,3,3,2,2,4,4,4,4,4,"4","3",3,1,3,5,5,5,5,5,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,5,5,3,5,5,5,3,5,5,5,3,4
"136",18,185,62,1,"male","right handed","secondary school","no","village","block of flats",2,1,1,1,5,3,3,4,2,5,4,1,1,5,4,4,4,1,5,2,2,5,5,3,5,3,4,3,4,2,3,"i am often early","sometimes",1,3,3,2,2,4,5,3,2,5,3,5,4,2,3,2,2,3,2,4,2,3,4,"few hours a day",4,4,5,5,5,2,1,3,1,1,5,2,1,3,2,4,4,1,3,1,4,4,5,2,5,4,4,2,4,1,3,1,4,4,2,3,2,5,4,5,1,5,"5","5",3,4,3,3,3,1,4,4,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,4,3,5,5,2,4,5,3,3,5,2,4
"137",21,185,90,1,"male","right handed","secondary school","no","village","house/bungalow",3,2,1,3,4,5,4,5,1,5,4,2,1,3,5,3,4,1,3,1,2,5,5,4,4,3,3,5,3,2,3,"i am often early","never",3,3,3,4,3,3,5,3,3,3,2,5,5,5,4,4,4,3,5,5,4,4,2,"few hours a day",1,1,2,4,5,3,1,1,3,2,4,2,5,2,4,5,4,3,5,5,3,3,3,5,2,2,1,5,3,4,1,2,5,5,4,1,3,5,5,5,3,3,"1","1",3,3,3,4,3,2,3,4,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,5,4,4,5,4,3,5,2,2,4,3,4
"138",19,171,55,0,"","right handed","primary school","yes","village","house/bungalow",4,3,5,5,3,2,3,3,4,3,3,2,4,3,1,3,2,1,3,2,4,3,4,5,2,3,5,4,3,1,1,"i am often early","sometimes",4,2,5,3,3,1,2,5,3,5,3,2,4,3,3,3,3,2,4,3,1,5,4,"few hours a day",5,2,2,2,3,4,1,2,4,2,4,5,3,3,3,5,4,2,4,3,4,5,5,3,2,5,4,3,3,1,1,4,3,1,1,2,3,2,2,3,1,1,"1","1",1,4,4,1,2,1,1,4,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,2,1,3,4,3,1,2,4,5,3,1,3
"139",20,168,50,4,"female","right handed","secondary school","no","village","house/bungalow",4,2,2,1,5,2,5,5,5,4,3,1,1,4,5,4,5,1,5,2,1,2,5,4,4,3,5,5,3,3,4,"i am always on time","sometimes",5,5,2,3,5,3,5,5,4,1,2,5,5,2,4,4,3,3,4,3,3,5,5,"few hours a day",1,1,1,1,1,2,2,1,4,3,2,3,2,1,1,3,1,2,5,4,5,3,5,5,1,1,1,5,5,2,5,3,2,4,1,2,3,2,2,4,1,3,"1","1",1,4,1,1,1,1,1,1,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,5,1,2,5,5,1,3,5,4,4,3,2
"140",19,168,53,1,"female","right handed","college/bachelor degree","no","village","block of flats",3,2,5,2,4,4,4,4,5,5,4,3,4,4,4,5,5,1,4,2,1,3,5,4,2,4,2,5,4,3,3,"i am often running late","sometimes",2,5,5,5,4,5,5,4,3,4,4,2,2,4,3,4,3,3,3,5,5,4,5,"few hours a day",4,4,4,4,3,5,5,4,5,2,1,3,1,2,1,4,3,1,3,2,3,1,4,1,3,1,4,3,5,5,5,3,2,4,2,4,4,2,3,5,3,5,"2","3",3,2,4,3,3,1,4,2,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,5,3,3,5,5,2,1,3,4,1,2,3
"141",19,175,52,3,"female","right handed","college/bachelor degree","no","city","block of flats",2,4,4,4,4,3,4,5,1,5,2,2,1,3,5,5,5,1,4,4,4,5,3,3,4,3,5,5,3,4,4,"i am always on time","sometimes",4,1,4,3,4,2,5,5,5,2,4,5,5,5,4,4,4,3,5,4,4,4,3,"few hours a day",2,2,2,5,2,4,3,2,4,3,5,4,3,2,2,3,1,1,1,1,4,3,5,2,2,3,5,5,5,1,4,3,2,1,1,2,3,2,4,4,5,5,"2","3",3,3,2,2,1,1,1,2,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,5,1,4,5,5,5,5,5,5,5,4,5
